date,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,wind_dir,humidity_max,humidity_min,evapotranspiration,latitude,longitude,wind_speed_ms,is_dry_day,consecutive_dry_days,temp_anomaly,fire_danger_score
2023-07-08,18.2,9.1,13.6,3.0,232,100,36,2.95,64.815,-147.856,5.777777777777778,0,0,-3.0086956521739125,0.4950604823017205
2023-07-09,23.9,9.4,16.8,0.0,201,80,34,4.14,64.815,-147.856,4.527777777777778,1,1,2.6913043478260867,0.538101431337079
2023-07-10,21.8,13.8,18.2,0.0,233,60,37,3.93,64.815,-147.856,4.972222222222221,1,2,0.5913043478260889,0.5309141162531482
2023-07-11,23.0,14.5,18.2,0.0,255,72,42,3.88,64.815,-147.856,4.027777777777778,1,3,1.7913043478260882,0.5058992351071083
2023-07-12,19.8,12.2,15.5,2.3,242,100,46,2.33,64.815,-147.856,3.083333333333333,0,0,-1.4086956521739111,0.3789307936426256
2023-07-13,22.4,9.1,17.0,0.0,184,93,32,3.79,64.815,-147.856,2.7222222222222223,1,1,1.1913043478260867,0.45254138496343566
2023-07-14,21.1,14.1,17.2,2.9,211,89,51,2.58,64.815,-147.856,5.027777777777778,0,0,-0.10869565217391042,0.45838412293751907
2023-07-15,17.7,12.6,14.6,5.4,163,100,59,1.64,64.815,-147.856,3.0555555555555554,0,0,-3.5086956521739125,0.31119424233388343
2023-07-16,20.3,12.2,16.3,1.5,99,100,49,2.06,64.815,-147.856,2.2777777777777777,1,1,-0.9086956521739111,0.3562302480523004
2023-07-17,24.2,11.2,18.3,0.2,317,100,40,3.94,64.815,-147.856,2.2777777777777777,1,2,2.9913043478260875,0.44631074337891025
2023-07-18,23.6,14.4,18.7,7.5,230,100,44,2.78,64.815,-147.856,2.5,0,0,2.3913043478260896,0.4117263737773455
2023-07-19,24.3,15.1,18.8,0.4,297,96,47,2.44,64.815,-147.856,2.6666666666666665,1,1,3.091304347826089,0.4303314402054851
2023-07-20,22.4,15.6,18.3,11.1,202,100,54,2.66,64.815,-147.856,2.5555555555555554,0,0,1.1913043478260867,0.3681468448470458
2023-07-21,25.7,13.1,20.0,0.0,200,85,34,4.09,64.815,-147.856,2.861111111111111,1,1,4.4913043478260875,0.49548729944343467
2023-07-22,28.5,14.2,22.1,0.0,3,73,29,4.5,64.815,-147.856,2.833333333333333,1,2,7.291304347826088,0.5579891381923734
2023-07-23,29.9,17.1,23.8,0.1,39,67,32,4.51,64.815,-147.856,2.833333333333333,1,3,8.691304347826087,0.5791748966913053
2023-07-24,30.9,17.8,23.5,0.4,329,93,32,3.9,64.815,-147.856,3.2499999999999996,1,4,9.691304347826087,0.620672082900202
2023-07-25,27.3,17.5,21.6,0.4,246,94,46,3.45,64.815,-147.856,3.611111111111111,1,5,6.091304347826089,0.5574330085991861
2023-07-26,27.9,16.4,21.9,0.4,188,98,44,3.41,64.815,-147.856,2.305555555555556,1,6,6.691304347826087,0.5311587497590962
2023-07-27,27.5,17.8,22.6,0.0,209,92,30,4.41,64.815,-147.856,3.222222222222222,1,7,6.291304347826088,0.6161243860673651
2023-07-28,27.4,15.9,21.8,0.0,177,93,36,4.15,64.815,-147.856,4.055555555555555,1,8,6.191304347826087,0.6417224736744767
